"LOC100130075" "AGAP2.AS1" "GIHCG" "EGFR.AS1" "TSFM" "CTDSP2" "CDK4" "DCTN2" "AVIL" "OS9" "MBD6" "ARHGEF25" "AGAP2" "CYP27B1" "DDIT3" "GSX2" "EGFR" "DTX3" "VSTM2A" "DKFZp434L192" "SEC61G" "B4GALNT1" "SUMF2" "EEF1AKMT3" "NIPSNAP2" "CHIC2" "VSTM2A.OT1" "NA..64" "SEPTIN14" "ZNF713" "FKBP9P1" "KIF5A" "NUPR2" "RPL21P44" "MIR26A2" "METTL1" "CHCHD2" "MRPS17" "PHKG1" "LANCL2" "PSPH" "TSPAN31" "SLC26A10" "LOC650226" "SNORA15" "PIP4K2C" "VOPP1" "CCT6A" "ATP23" "MARCHF9"
"Camptothecin_1003" 0.253311210943079 0.909447965039458 0.826467655912913 0.0859056565920284 0.83955952305353 0.898119348254064 0.988859742142632 0.871030209304212 0.502944902282356 0.99256225419609 0.801736347440131 0.876713399612596 0.863421340870486 0.742897937981674 0.796488589025397 0.358014273730289 0.174167007023362 0.876713399612596 0.839403210407683 0.368201350750516 0.250483286785533 0.943355378786522 0.597449368308427 0.784676194509692 0.467295089140438 0.549637900680338 0.839403210407683 0.396312039840733 0.858821052059354 0.285342165686453 0.835373973096119 0.876713399612596 0.444338345002091 0.574021384741923 0.848228788805185 0.73436540331634 0.573016943271656 0.995227244860023 0.573016943271656 0.720193668001556 0.858797494852871 0.990664544466509 0.929089672405677 0.513795574186783 0.661837745738358 0.858990434124395 0.902056780368014 0.661837745738358 0.660555427517851 0.876097024878695
"Vinblastine_1004" 0.590902252403288 0.605157742126446 0.759623963311527 0.30508916128391 0.867710523559418 0.786171600485874 0.878964661501032 0.579012313620142 0.736164203181483 0.556369423212998 0.443327403709587 0.574758237203271 0.745701316782758 0.82745838004288 0.440915939956744 0.774850570666034 0.312982586100257 0.574758237203271 0.94336765312444 0.353564556370495 0.515869918823274 0.543131046030881 0.292733049765058 0.793779810514101 0.937845962788211 0.92696949064327 0.94336765312444 0.899137402426404 0.959697074823169 0.383267626448092 0.932897343538726 0.574758237203271 0.211016147922486 0.942627553295289 0.733853369756544 0.73743168883093 0.272663600696624 0.870188909514765 0.272663600696624 0.281398676641554 0.596607459421726 0.656772521436264 0.537128142399978 0.550515640952766 0.376521381565732 0.565362394084381 0.456684030411134 0.376521381565732 0.645017881932943 0.778109442594633
"Cisplatin_1005" 0.109615611428776 0.860166724583347 0.361417691328738 0.462952494678137 0.839240719551997 0.377673311806496 0.651057329345424 0.815855962011287 0.313024349281717 0.578216582736166 0.969840261223648 0.80552177710263 0.884960125507407 0.262452293010575 0.970933508532218 0.831576046247964 0.273179006349484 0.80552177710263 0.448698683844653 0.88136336134144 0.375597872292927 0.706386679195816 0.901174065989389 0.301300147994841 0.505184081050872 0.586556387626868 0.448698683844653 0.31765849061054 0.382417271640378 0.842168616891306 0.314924146298662 0.80552177710263 0.955243807990377 0.565902147265889 0.337633772972726 0.266111831133151 0.92612671215794 0.521790402108901 0.92612671215794 0.729968149052576 0.918310872603394 0.644071205947161 0.714163653567895 0.98171100020654 0.811578652982527 0.851517260343449 0.256300774754576 0.811578652982527 0.296638068541695 0.732950502296618
"Cytarabine_1006" 0.167030704482371 0.544668135521093 0.229242216503667 0.106681534025185 0.54536635576021 0.21834795510442 0.410207189324937 0.447491327868301 0.193473862571522 0.3830435314496 0.560623425029228 0.449530628732752 0.586142625415511 0.174329174616761 0.562106670704122 0.787185392860268 0.0726254726156804 0.449530628732752 0.453582424888609 0.758166344852878 0.208151756799014 0.460332812771716 0.835537278300711 0.167665194585088 0.907432542364184 0.430369395002108 0.453582424888609 0.47403470667996 0.663931546159895 0.678114849560603 0.858045015892412 0.449530628732752 0.700170518721171 0.406545476384625 0.19626990169971 0.148861321375075 0.815108971777065 0.692471251777715 0.815108971777065 0.51622060613263 0.704100582577098 0.407759234062848 0.467818343104532 0.826388356162654 0.854115956247483 0.473761372894192 0.578898614365191 0.854115956247483 0.19366792574677 0.458154505584437
"Docetaxel_1007" 0.458556510700536 0.948060200146612 0.529307871706715 0.494972799419954 0.803726715480915 0.601518354100882 0.616309013723553 0.594429723924585 0.518195320096768 0.735070828394785 0.549807499213732 0.605556339987495 0.830854332789665 0.448278619812925 0.555137170538964 0.762596207274864 0.283618834683417 0.605556339987495 0.979526335231919 0.438691032439778 0.510874468120106 0.723992131209238 0.283950231384831 0.52732625470369 0.902374581288666 0.662347879997182 0.979526335231919 0.897263961412584 0.83922902436991 0.427574518977759 0.59027218886253 0.605556339987495 0.188694937280886 0.652794285653915 0.566063911620851 0.492309660137063 0.267468515243903 0.937555301274723 0.267468515243903 0.421119706258922 0.701451627332685 0.917470681823827 0.714960663099136 0.562731480775664 0.316442285271485 0.575580359029313 0.231588577132654 0.316442285271485 0.398370268790489 0.743371974631604
"Gefitinib_1010" 0.763542810914025 0.963959503877891 0.653624934452557 0.576679400590037 0.849070669523503 0.845203418695419 0.99446298280258 0.826694492175459 0.769007445428388 0.873361526036778 0.875388904743927 0.806781117124868 0.929957582098319 0.998937006904303 0.874012428192429 0.813029434367311 0.570367568127125 0.806781117124868 0.374863095731147 0.422943767479393 0.889580978295246 0.666715314072138 0.274928811007841 0.839524118060314 0.217804457010941 0.503383281506348 0.374863095731147 0.392469931645082 0.247287159698223 0.319927294490447 0.31577157701758 0.806781117124868 0.354255166073665 0.479998551681884 0.834177001083511 0.850340718222283 0.336991769538457 0.230304959277567 0.336991769538457 0.415222753404922 0.517825846364336 0.971061432036788 0.637051571634025 0.383162848258481 0.350905584174977 0.814219599371685 0.816978598691921 0.350905584174977 0.662124718488747 0.976872351987764
"Navitoclax_1011" 0.744618906006374 0.307813325067329 0.6325689884443 0.345190749230086 0.304469994467212 0.524565854268626 0.716377125502957 0.472790658692224 0.35360932937362 0.143851043744216 0.615258097157559 0.451931828475039 0.469317131057511 0.897413626354114 0.631189499616732 0.338646235222369 0.111089320933765 0.451931828475039 0.061035321085437 0.784210364715404 0.450963806085502 0.30327256108693 0.492520036216867 0.894624962307657 0.752166025460898 0.343992925554509 0.061035321085437 0.195441426320546 0.00181227397889558 0.0193995016198763 0.00118724845732862 0.451931828475039 0.719380107671085 0.344506922813099 0.535656017007021 0.878743836996403 0.485088721047013 0.0962626524450259 0.485088721047013 0.0831373769206677 0.995934427228857 0.632135380729021 0.304188548076222 0.59733617060382 0.625084327101032 0.437692819237965 0.0160650870448203 0.625084327101032 0.680001437774307 0.677784460924494
"Vorinostat_1012" 0.10977185940985 0.22443015088305 0.4308520302436 0.591223822933608 0.24470635912559 0.355154353305017 0.169003981920982 0.601185494376078 0.251563483600963 0.0947798739664461 0.89098343719821 0.574451863377939 0.375272412203603 0.274326661516774 0.90436912120142 0.200213600614816 0.487765717579293 0.574451863377939 0.971404218059809 0.314003099642373 0.721602223797957 0.378936008862589 0.31504753599926 0.431097302056926 0.47653599973658 0.0335482409630057 0.971404218059809 0.739043761056869 0.162533041707424 0.191994696437836 0.054163957112701 0.574451863377939 0.389826537705597 0.0317867566020066 0.35714993652169 0.434110692917889 0.325771180279783 0.253741384932837 0.325771180279783 0.84138600182935 0.860348293906605 0.14868948127312 0.378659691575677 0.279706906723927 0.389133125196474 0.58378109997375 0.500320819668703 0.389133125196474 0.436898746846932 0.165156157323419
"Nilotinib_1013" 0.0673668044250265 0.78472475020369 0.351034239016911 0.0461680130296741 0.517402606268835 0.456978942409234 0.39909720253862 0.329789912658752 0.268862255667811 0.406967601243946 0.366692964146283 0.332174447688617 0.915464160774061 0.323128131635562 0.356546490730817 0.232232190958713 0.0352961516910621 0.332174447688617 0.0819530556923782 0.747855081277712 0.107398379735367 0.364601482344621 0.478338615954526 0.335872913409881 0.762767796064735 0.0875155675558725 0.0819530556923782 0.484339731212114 0.588079287368005 0.677389889447336 0.567075482915121 0.332174447688617 0.434637048709449 0.0816209327449327 0.424782587062293 0.308281399948312 0.459764534900972 0.887619598003261 0.459764534900972 0.275501106586038 0.65057295001016 0.433713777280865 0.353904518828389 0.771365368072159 0.488730501008964 0.345297999635058 0.283097878159374 0.488730501008964 0.322549477617678 0.439408510109147
"Olaparib_1017" 0.290974440995469 0.827725221594402 0.419073485254962 0.541609659804248 0.803464661978566 0.58107209433765 0.757663831462114 0.805395817575511 0.498230827453607 0.712087758998911 0.811634786837431 0.787889394448383 0.895850229401069 0.543688224704866 0.809080284084312 0.71827653573427 0.658360741176608 0.787889394448383 0.473256901127245 0.12061581887813 0.34273764376032 0.659636219028593 0.111643066039903 0.659929216630556 0.452993496875148 0.553037036573546 0.473256901127245 0.367562676843994 0.135408953013691 0.0696948742735881 0.203696365094991 0.787889394448383 0.0912957350669963 0.538494497280867 0.544000292119602 0.617146599792403 0.106972968862087 0.24600412134103 0.106972968862087 0.452774460787804 0.227906720751535 0.737295503812137 0.63817630436009 0.160108915179765 0.172003065531916 0.798901554541037 0.805815889370487 0.172003065531916 0.408139203243232 0.798794683537159
